LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
Bulloo (S),53.3,46.7,40,16.2,10.7,13,13.3,13.9,20.5,7.5,2.9,2,47,5.3,6,87.9,21.7,30.2,90.2,75.7,13.5,4.4,14.4,13.1,883,1430,NA,42.1,50.6,36.5
Bundaberg (R),49.2,50.8,45,17.7,11.1,10,10.6,13.2,14.4,13.5,7.2,2.5,49.5,9.8,6.4,80.2,25.9,18.4,88.6,52.7,31.7,15,11.8,14.1,490,1185,1.2,76.9,47.6,33.7
Burdekin (S),50.8,49.2,44,17.8,11.4,9.8,11.4,13.7,14.6,11.9,6.7,2.7,51.4,7.7,5,83.5,14.9,37.2,86.4,61,27.8,10.8,11,14.9,617,1489,1.1,73.2,44.9,40.4
Burke (S),56,44,38,17.1,13.4,16.1,13.4,15.2,17.4,6.4,0.9,0,38.8,6.9,6.5,74.7,29.5,20,78.1,69.8,11.7,9.7,16.6,11.7,742,1458,NA,33.8,47.7,46.2
Moreton Bay (R),48.9,51.1,38,21,12.5,12.2,13.5,13.6,11.5,9.6,4.4,1.7,49.2,13.9,9.6,74.3,30.9,20.7,87.3,57.5,29.9,16.4,15.3,15.5,652,1638,7.8,74.1,37.3,44.1
Sunshine Coast (R),48.2,51.8,43,18.1,11.2,10.5,12.6,14,13.2,11.5,6.2,2.6,50.1,16.9,10.1,74.1,33.5,18.3,89.2,52.5,35.6,19.1,12.9,16.2,615,1491,2.4,73.9,44,39.4
Cairns (R),49.3,50.7,37,20.4,12,13.6,14.5,14.6,12.1,8,3.4,1.3,42.2,16.2,9.2,68.8,31.7,22.8,77.7,57.6,29.7,19.2,13.2,15,693,1605,2.3,75.5,38.4,40.3
Gladstone (R),51.3,48.7,35,22.7,12.1,13.8,14.4,14.9,11.8,6.7,2.8,0.8,50.2,11.2,6.6,77.5,29.5,21.2,86.5,58.3,25.5,13.6,10.8,21.4,678,1918,7.3,75.2,39.4,45.5
Toowoomba (R),48.6,51.4,38,20.2,12.9,12.3,11.9,12.7,12.1,9.9,5.6,2.4,50.2,16.1,8,81,20,23.2,86.8,58.5,29.8,18.6,13.3,15.1,642,1547,0.7,76.3,42,40.8
Cassowary Coast (R),51.4,48.6,44,18.3,10.4,11,10.9,14.1,15.6,11.4,5.9,2.3,47.3,8.7,6.2,75.2,23.8,29,81,55.9,30.6,10.9,10.1,13.9,567,1305,3.8,71.6,46.7,35.8
Carpentaria (S),51.4,48.6,38,20.6,11.9,13.2,12.1,15,13.5,9.8,3.5,0.5,36.8,7.3,5.4,81.8,32.7,18.5,88.4,67.2,17.2,12.2,11,14,677,1544,NA,50.7,45.7,29.4
Charters Towers (R),49.5,50.5,40,21.5,12.2,10,12,12.8,13.1,11,5.7,1.8,46.6,8.6,5,83.5,22.9,24.2,87.8,58,26.7,14,9.6,14.1,522,1323,3.4,65.2,42.1,38.3
Cherbourg (S),49.7,50.3,21,37,20.4,11.7,11.3,9.6,6.5,2.7,0.5,0.4,8,0.6,4.6,98.6,28.5,14.1,92.6,29.6,17.7,10.5,15,6.8,315,766,NA,65.4,13.3,29.9
Western Downs (R),51.2,48.8,37,22,12,12.4,12.7,13.5,11.7,9.1,4.7,1.8,50.5,9.2,6.4,80.8,17.1,22.5,85.8,61.6,26.6,11.5,11.2,16.1,621,1467,1,66.8,41.7,41.8
Cloncurry (S),56.2,43.8,34,20.4,11.5,18.2,14.1,13.6,12.6,7,2,0.7,41.4,11.1,5.2,76.4,20.7,28.7,81.9,75.2,14.2,13.4,12.5,15.1,1022,2140,7.5,58,37.9,45.2
Cook (S),53.9,46.1,41,18.5,11.3,12.4,12,13.3,16.4,12,3.3,0.7,34.2,10.7,7.4,69.9,30,15.9,75.2,60.6,25.8,17.5,9.8,12.7,581,1339,3.1,58.6,44.8,34.3
Napranum (S),51.6,48.4,25,30.2,19.3,14.1,12.5,13.4,7.2,2.5,0.6,0,14.2,2,1.7,96.8,43.3,NA,64.5,47.5,18.3,13.1,6.5,20.9,280,776,NA,74.5,14.6,48.8
Gympie (R),49.6,50.4,46,18.2,10.1,9,10.5,14,15.6,14.2,6.3,2.1,49.2,8.5,7.4,80.1,29.5,16.1,89.5,50.3,34.2,12.5,11.2,15.8,479,1132,1.2,71,47.2,34
Croydon (S),50.5,49.5,40,20.9,9.5,12.8,15.9,15.2,15.2,7.7,1.4,1.4,45.5,3.8,5.9,68.4,20.6,14.1,73.4,64.3,21.4,5.2,8.7,9.6,579,1274,NA,35.5,51.7,31.7
Diamantina (S),51.4,48.6,30,17.5,24,16.4,11,14.4,11.6,5.1,0,0,38.6,11.8,6.3,79.5,30.2,22.7,86.3,70.6,20.6,8.3,13,12.4,754,2041,3.8,40.7,35.1,54.4
Doomadgee (S),50.5,49.5,21,38.5,17.5,15.8,12.5,7.3,6,1.8,0.6,0,18.3,4.4,2.7,96.9,14,1.7,92.7,37.6,35.8,13.5,11.4,8.5,298,745,2.2,43.1,13.7,54.6
Douglas (S),50.9,49.1,43,16.6,8.9,13,13.4,15.4,16.2,10.8,4.5,1.4,41.6,13.4,8.6,65.2,35.4,18.9,79.3,57.7,31.3,12.1,10.2,16.1,676,1460,1.6,64.4,49.9,33.2
Somerset (R),50.3,49.7,43,20.4,10.7,9.9,11.6,13.7,15.1,12.2,5,1.4,49.2,8.4,7.2,78.5,26.7,17.2,87.9,56.3,29.8,11,11.1,14.9,512,1256,1.7,71.2,43.9,38.4
Etheridge (S),54.1,45.9,45,18.1,7.4,14.3,9.4,15.8,16.3,13.2,5.4,0.4,50.8,5.5,5.6,82.9,23.6,27.6,87.8,68.1,19.3,8.4,9,9.5,521,1192,0.8,34.6,45.6,44.5
Rockhampton (R),49.4,50.6,36,20.8,13.8,14,12,13,11.7,8.1,4.9,2,44.3,11.9,6,82.8,22.7,26.3,87.2,57.8,27.9,16.1,13.1,16.5,626,1539,1.7,77.2,37.4,40.9
Livingstone (S),51.3,48.7,42,18.9,11.6,10.2,12.4,14.8,14.6,10.6,5.1,1.9,51.7,12.2,6.8,81.2,24.6,24.4,88.1,56.8,29.5,15.5,12.6,18.2,618,1597,2.7,73.8,44.7,40.7
Flinders (S) (Qld),50.7,49.3,44,17.6,11.1,11.7,10.2,14.7,14.1,13.5,5.3,1.8,51.4,7.4,4.9,84.8,17.2,26,91.8,69.8,21.1,6.9,9.2,8.9,600,1331,NA,52.2,51.4,35.3
Lockyer Valley (R),50,50,39,19.5,13.7,12.1,12,14.1,12.5,10.2,4.4,1.5,47.9,9.5,6.9,78.2,23.4,20.4,85.3,55.5,30.6,11.8,11.5,15,535,1376,1.1,75.4,42.6,39.9
Gold Coast (C),48.6,51.4,38,18.1,12.8,13.7,13.8,13.5,11.5,9.5,4.8,2.1,45.4,17.2,10.3,63.9,31.8,20.8,80.4,55.7,32.8,18.3,13.6,14.9,666,1657,4.2,75.2,39.5,41.9
Goondiwindi (R),50.2,49.8,40,21.3,10.7,12.2,11.7,13.2,13.3,10.1,5.5,2,52.6,10.5,7.1,82.8,16.6,25.8,86.9,63.4,27.2,11.7,11.1,12.5,653,1461,0.5,69.9,44.6,40.3
Fraser Coast (R),49,51,48,16.9,9.7,8.5,10.5,12.7,15.3,15.9,7.9,2.5,49.7,9.1,7.2,77.7,27.8,17.7,88.7,49.1,33.6,16,12.3,14.7,468,1090,1.3,74.4,50.4,30.9
Hinchinbrook (S),51,49,50,15.6,10,7.8,9.7,14,16,13.9,9.2,3.8,53.4,7.3,5,81.5,13.5,44.9,85.4,58.6,29.8,12.2,10.9,16.1,538,1349,1,71.3,50.6,35.9
Hope Vale (S),54,46,26,28.1,18.3,15.6,14.1,10.3,7.4,3.6,1.9,0.7,14.2,4.3,3.2,96.5,6.3,2.8,16.6,41.6,16.3,14,9.1,9.9,327,780,NA,76.5,19.9,46.3
Longreach (R),48.9,51.1,40,19.1,12.8,12.2,11.5,14.1,14.5,8.6,5,2.1,47.9,13.7,7.9,82.7,16.9,29.6,88.8,67.8,21.1,15.7,12.5,13.1,726,1609,0.5,65,44.6,39.7
Ipswich (C),49.4,50.6,32,23.7,14.1,15.5,13.5,12.5,9.9,6.4,3.1,1.2,44.1,12,8.7,72.9,29.7,19.8,81.9,59.2,26.9,14.5,14.6,15.1,667,1581,6.9,77.4,31.7,45.7
South Burnett (R),50.1,49.9,45,19.1,10.3,9.2,10.7,13.2,14.5,14.2,6.6,2.2,49.5,8.5,6.7,82.4,25.1,17.2,90,54.6,32.2,13,9.9,13.8,478,1143,1.1,70.2,47.9,33.8
Kowanyama (S),47.8,52.2,29,26.8,16,16.3,13.7,12.6,10.3,3.4,0,0.7,9.1,3.8,1.7,98,13.4,4.4,92.3,38.8,22.6,11.1,6.9,16.1,342,841,3.5,39.3,25.3,33.9
Lockhart River (S),49.8,50.2,26,30.9,17.4,16.3,11.5,11.7,7.9,3.6,0.7,0,4.2,4.1,2,94.9,7.9,1.5,50,40.6,30.4,18.4,5.8,10,332,810,1.6,44.6,16.9,42.6
Mackay (R),50.7,49.3,37,20.6,12.1,13.5,13.3,14.8,12.5,7.8,3.9,1.4,49.4,10.6,6.3,79.7,23.6,28,86.7,59.5,26.4,14.3,12,20,698,1774,2.3,76.3,40.3,43.4
McKinlay (S),54.3,45.7,39,16.3,8.8,16.4,17,14.4,14.5,8.4,3.1,1.1,49.5,11.5,5.1,85.3,20.4,27.7,90.8,80.9,11,8.8,8,10.8,834,1537,6.2,33.2,42.5,46.7
Mapoon (S),49,51,27,29.4,17.7,13.2,8.7,10.7,13.9,4.2,2.3,0,19.7,4,4.9,99,43.7,6.8,85.2,59.8,8.9,18.1,19.4,13.9,365,1015,NA,68.9,17.2,40.6
Mareeba (S),52.5,47.5,43,18,10.9,10.9,12.2,14.4,14.4,11.6,5.9,1.8,44.6,10.3,6.7,72.2,25.7,25.4,75.8,54.9,30.7,13.2,11.3,13.7,541,1274,1.8,67.9,44.1,37.4
Noosa (S),48.6,51.4,48,16.2,8.9,7.4,11.8,15.2,16.2,14.6,6.8,2.6,51.1,17.9,11,71.8,36.9,17.6,88.5,49.3,39.2,18.9,11.4,15.5,595,1403,2.3,69.3,49.2,34.5
Mornington (S),49.3,50.7,27,30.5,16.3,15.6,12.2,12.1,6.9,4.5,1.7,0,14.4,7.4,3.2,93.4,38.5,6.4,81.1,52.1,17.4,17.6,8.5,14.1,352,762,3.9,45.1,19.6,38
Mount Isa (C),51.7,48.3,31,24,13.5,18.9,13.9,13.6,9.1,4.9,1.7,0.4,41.8,12.5,5.4,71.5,27.9,27.4,79.7,70,18,15.8,10.5,22.3,997,2382,0.3,78.4,35.3,45.3
Murweh (S),49.4,50.6,39,21,11.4,12.3,11.5,13.7,14,8.6,5,2.4,49,10.6,5.9,85.2,16.1,33.9,89.4,64.9,23.8,13.7,9.8,11.8,672,1490,0.4,64.9,44.8,39.3
Palm Island (S),49.5,50.5,24,32,18.6,14,11,13.1,7.9,2.8,0.5,0,10.4,4.8,2.2,97,7.9,50.7,92.2,38,28.8,17.1,11.1,9.9,303,927,3.3,49.9,13.7,41
Paroo (S),49.7,50.3,46,19.1,9.1,11,10,14.1,17.5,11.7,5.6,1.8,42.5,7.2,6.9,87.6,17.5,31.4,91.8,66,22.4,11.3,9.8,9.9,529,1235,0.4,56.9,47.3,28.4
Pormpuraaw (S),49.8,50.2,31,27.2,14,13.5,16.4,15.4,8.1,4.7,0.9,0,28.4,3.2,3,94.9,12.8,5.3,36.2,45.6,34.7,14.8,6.7,10.5,337,747,NA,24.2,29.4,36.5
Quilpie (S),53.6,46.4,41,20.6,9.9,14.9,10.3,17.9,13.6,8.3,3.3,1.1,45.1,9.3,6.1,90.9,20.5,35,94.9,72.5,16.6,8.9,10.2,11.1,692,1449,0.7,50.6,47,38.5
Redland (C),49,51,41,18.8,12.2,10.7,12.6,14.4,13.5,10.5,5.2,2.2,51.9,15.5,10.3,72.5,29.8,21.1,88.9,58.8,30.6,17.2,16,15.9,686,1815,7,75.6,39.5,44.2
Richmond (S),52,48,35,18.4,12.3,18,10,14.2,13.2,8.2,4.9,1,47.7,9,7,85.1,16.8,33.6,90.9,72.3,18.5,9.7,9.3,10.4,655,1402,1.4,53.7,47,34.8
Southern Downs (R),49.2,50.8,45,18.9,10.9,9,10.4,13,14.8,13.5,7,2.6,50.7,10.2,6.9,82.3,22.2,25,89.5,54.7,33.1,12.3,10.7,13.2,506,1207,0.4,71.2,46.5,36.3
Weipa (T),53.7,46.3,31,26.5,11.4,18.1,17.8,15.5,8.2,2.2,0.3,0.1,47.5,14,6.8,78.6,29.5,24.4,81.8,74.4,16.2,13.9,9.1,25.2,1320,2777,0.7,74.3,33.8,57.1
Winton (S),52.3,47.7,46,16.3,9.2,11.4,10.5,13.9,15.8,13.5,6.6,2.8,43.7,9.7,5.2,84.6,19.3,30.2,89.5,69.7,17.9,8,8.3,13,655,1413,NA,52,51.7,34.9
Yarrabah (S),50,50,23,34.1,18.9,14.5,10.6,11.7,6.8,2.7,0.8,0.2,18.4,3.2,3.7,99.3,7.4,1.1,84.8,31.4,15.9,17.2,12.1,10.1,288,869,1.2,72,8.4,40
Wujal Wujal (S),47,53,30,23.4,15.8,18.5,13.4,13,11,4.8,0,0,7.8,5.7,4.2,98.6,7,4.2,32,39.1,23.9,12.9,12.9,10,294,682,4.5,37.9,10.8,39.2
Woorabinda (S),48.9,51.1,23,33.3,20.8,12.7,10.8,11.5,6.9,3.7,0.4,0,16.4,3.7,3.3,95.6,19.5,17.1,85.4,51.5,23.2,11.3,10.8,7.4,319,716,3.8,38.4,10.2,27.8
Adelaide (C),51.3,48.7,30,5.5,28.5,23.6,10.8,9.7,9,7.9,3.4,1.7,26.4,37.2,8.1,45.6,44.3,12.7,52.8,53.7,29.7,37.9,11.8,7.3,553,2026,12,39.2,61.5,22.4
Adelaide Hills (DC),49.8,50.2,44,18.7,11.9,7.8,12.4,16.2,15.5,11.4,4.4,1.7,56.9,29.1,10.5,77.8,42.3,12.2,89.9,54.5,35.8,28.7,12.2,12.9,741,2026,5.2,72,41,47.7
Alexandrina (DC),48.7,51.3,51,15.7,9,7.6,10.2,12.9,15.8,16.9,8.6,3.2,54.6,12.4,9.4,76.6,39.5,10.1,91.4,48.6,39.5,14.8,11.7,16,522,1226,1.4,71.2,52.9,33.4
Anangu Pitjantjatjara (AC),47.6,52.4,28,24.2,19,18.2,14,12,7.4,3.2,1.3,0.8,44.5,6.7,2.3,91.5,27,NA,12.9,42.9,25.1,33.4,5.4,3.7,283,734,2.1,30,25.8,44
Barossa (DC),49.4,50.6,44,18.6,10.7,9.6,12.5,14.2,14.5,11.3,5.9,2.7,54.8,13.2,9.2,82.5,33.7,9.8,92.6,56.5,33.6,15.6,11.8,15.1,646,1596,1.4,74.9,45.3,41.7
Barunga West (DC),51.4,48.6,55,13.7,6.9,6.6,9.1,13.7,17.8,19.1,9,4.1,56.1,6.8,6.8,83.9,30.5,11.3,92.2,52.1,35.7,12.6,8.4,10.3,487,1166,NA,56.1,57.7,30.8
Berri and Barmera (DC),50,50,45,18,10.8,10,10.8,13.7,15.1,11.7,6.8,3.2,47.3,8.6,6.5,80.4,35,15.2,84.2,55.6,32.5,13.9,10.6,13.2,533,1252,0.6,76.9,45.2,35.3
Burnside (C),47.2,52.8,44,17.1,13,9.1,12.1,13.9,13,11.5,6.6,3.8,53.8,42.2,9.5,65.3,35.5,19.6,72.1,53.9,36.3,39.5,12.7,6.6,807,2320,8.1,69,38.9,48.1
Campbelltown (C) (SA),48.6,51.4,41,16.4,12.4,12.6,12.9,14,11.1,9.9,7.7,3.3,51.9,25.4,8.9,61.9,25.8,34,62.1,53.3,35.3,25,15.1,12.5,588,1607,10.6,72.8,37,46
Ceduna (DC),49.7,50.3,39,20.8,12,12.2,12.3,12.3,14.4,10.3,3.7,2,43.2,8.1,6.2,81.8,32.6,9.3,79.9,59,29,13,10.5,11.3,696,1503,0.8,72,43.9,37.8
Charles Sturt (C),48.9,51.1,41,15.6,12.3,14,12.6,14,12.5,9.5,6.3,3.3,45.4,20.3,8.6,66.9,29.1,26.9,68,55.3,32.8,21.8,15.5,12.9,614,1607,10,72.6,39,41.7
Clare and Gilbert Valleys (DC),49.8,50.2,47,18.1,8.7,10.3,10,14.2,16.5,13.1,6.1,3.1,54.7,13.8,8.2,83.3,31.5,17.5,91.8,54.4,35.3,14.7,11.2,13.4,605,1395,0.5,68.6,52.2,35.2
Cleve (DC),52.3,47.7,44,20.5,9.4,10.3,10.6,13.8,15.6,10.8,5.3,3.5,56.3,8.8,6.7,88.8,26.7,12.3,92.9,58.8,32.6,8.9,8.5,13,630,1384,0.4,58.7,50.2,39.6
Coober Pedy (DC),54.6,45.4,46,15.9,8,13.7,10.1,15.2,14.2,14.9,7.1,0.8,37.7,11,6.6,57.9,30.5,16.8,60.4,56.6,24.1,13,11.2,11,497,1329,1.4,71.1,47.4,32.5
Copper Coast (DC),49.8,50.2,50,15.5,9.2,9.1,8.9,13.3,15.9,16.3,8.6,3.1,51.3,7,6,81.8,34.4,12.4,90.3,47.3,37.4,13,10.7,15.2,477,1128,0.6,73.6,53.7,30.1
Elliston (DC),53.7,46.3,46,19.9,6.9,10.2,10.2,15.3,20.8,10.3,4.4,2,54,10.9,6,88,26.3,18.4,94.7,57.3,31.5,8.8,8.2,8,529,1189,0.6,46.5,53.7,38.7
Flinders Ranges (DC),49.1,50.9,50,15.2,9.1,8.9,9.8,15.3,17.6,15,6.7,2.5,46.3,10.2,6,85.1,32.6,16.3,89,56.8,29.7,15.6,7.9,14.4,549,1283,1.4,60.5,54.3,32.1
Franklin Harbour (DC),53,47,49,16.9,8.2,8.1,10.1,14.8,16.1,17.5,4.7,3.5,55.1,5.4,5.8,83.6,28.8,12,89.1,52.3,32.3,9.5,8.2,14.1,536,1283,3.3,56.2,58.6,34.2
Gawler (T),48.2,51.8,41,17.7,12.9,12.2,10.8,13.6,13.1,10,6.9,2.9,45.4,10.5,8.7,76.4,37.6,15,90.4,54.1,32.5,14.9,13.5,15.6,576,1422,5.2,77.7,40.3,38.1
Goyder (DC),50.2,49.8,48,17.2,9,7.9,10.8,14.2,18.2,13.5,6.9,2.2,51.9,8,7.5,81.5,26.5,13.9,91.5,52.8,34.2,9.1,8.5,12.7,481,1184,0.4,63,51.1,36.1
Grant (DC),55,45,44,18.7,10.2,9.4,13.3,17.1,15.3,10.7,3.9,1.4,57.3,8.4,6.3,86.2,34.1,18.2,86.9,56.6,33.9,12.3,12.2,14.3,665,1658,0.2,72.5,45.2,45.5
Mount Gambier (C),48.5,51.5,40,19.9,12.2,12.1,11.7,13.3,12.4,9.9,6,2.6,46.3,9.5,6,83,39.3,18.3,88.7,55.1,33.1,14.5,11.7,14.5,589,1388,0.5,81.4,40.8,38.8
Holdfast Bay (C),47.6,52.4,46,13.5,11,11.6,11.8,13.5,14.9,12.2,7,4.8,46.5,27.2,10.5,71.4,36.1,20.4,84.6,54.7,34.9,27.7,14.7,10.5,748,1973,10.4,68.8,46.4,38
Kangaroo Island (DC),51.1,48.9,49,16.5,7.9,9.5,10.1,14.6,18.1,14.7,5.9,2.6,51.5,13.4,7.1,76.5,43.8,10.2,87.5,46.2,41.7,11.6,8.8,12.1,553,1213,0.8,60.6,53.7,34.7
Karoonda East Murray (DC),51.8,48.2,48,17.5,9.1,6.6,11.7,14.6,15,14,6.8,4.5,59,6.9,5.9,86.7,24.9,9.6,92.6,65,26.7,8.9,4.9,8.5,461,1181,0.8,50.8,47.8,38.1
Kimba (DC),51.3,48.7,40,23.2,7.7,13.1,10.3,13,12.4,10.2,7.1,3,63.3,8.6,7.9,89.3,32.3,12.3,92.4,61,29.6,8.3,9.8,8.3,684,1453,NA,55.7,49.1,41.8
Kingston (DC) (SA),51.8,48.2,50,15.8,8.8,9.9,9.8,11,16.5,15.3,9.7,3,56.1,8,6,86.4,36.7,10.4,92.2,49.8,37,8.5,7.8,11.5,575,1232,0.3,64.4,55.6,34.1
Wudinna (DC),51.2,48.8,42,22.3,8.2,10,12.4,12.9,15.7,10.4,5.1,3,58.2,8.7,5.5,88.2,27.3,16.9,92.5,61.2,30.1,9.8,8,10.9,672,1492,0.9,55.6,47.8,43
Light (RegC),50.5,49.5,39,21.7,12.6,10.2,13.3,15.8,13.6,8.3,3.4,1.1,55.9,11.5,8.6,82.9,36.8,14.1,93.1,56.5,32.9,13.5,12.5,15.4,669,1715,1.9,75.4,37.9,49.4
Lower Eyre Peninsula (DC),53.6,46.4,43,19.8,9.2,10.2,13.4,16,15.1,10.6,4.2,1.4,54.9,10.7,7.6,85.6,33.7,15.2,88.4,54.2,35.2,13.1,11.4,15.1,672,1490,1.3,69.5,47.8,41.9
Loxton Waikerie (DC),50,50,46,17.6,10.4,8.8,10.9,14.3,14.7,13.3,6.6,3.3,53.9,8.2,7.1,84.8,31.1,10.7,89.4,55.8,33.5,11.7,10.5,12.3,552,1286,0.6,72.9,48.4,36.5
Mallala (DC),51.8,48.2,42,19.3,12.3,10.2,13.2,17.8,14,9.2,3.3,1,49.6,5.9,6.3,79.3,37.5,17.6,89,56.9,30.8,8.3,12.1,17.1,606,1498,1.9,76.7,39,47.6
Marion (C),48.1,51.9,39,16.2,12.9,14.8,13.3,12.7,12.8,8.9,5.3,3.1,46.3,22.1,9.6,68,37.1,18.2,77,53.6,34.4,22.6,15,13.8,628,1625,11.4,71.3,38.9,42.4
Mid Murray (DC),53.5,46.5,51,13.2,9,8.5,9.9,15.7,18.2,16.3,7,2.2,48.6,6.7,5.6,80.7,34.4,NA,88.5,52.7,35.1,8.3,8.9,15.5,473,1096,1.4,69.5,54.8,30
Mitcham (C),48.3,51.7,42,17.6,13,10.7,12.9,13.8,12.4,10.3,5.9,3.4,52.8,35.1,10,73.4,39,15.5,81.7,52.4,36.9,33.8,13.2,10.1,715,2071,9.1,69.7,38.2,48
Mount Barker (DC),48.6,51.4,39,20.2,12.6,11.5,13.3,14.3,12.7,9.5,4.1,1.9,51.8,18.1,10.2,80.1,40.5,12.1,91,53.4,35.9,19.7,13,15,677,1729,4.7,73.6,38.6,45.8
Mount Remarkable (DC),51,49,53,14.1,9.1,6.2,9.2,15.3,19.7,15.5,7.8,3.1,55.6,9,7.8,84.8,31,13.9,91.4,58,30.6,13.5,9.7,10.4,497,1217,0.9,59.5,58.8,32.5
Murray Bridge (RC),50.2,49.8,41,17.3,13.1,12.9,11.1,13.5,12.3,11.1,6.2,2.4,45.7,7,6,78.2,35.7,13.6,82.3,54,31.9,9,10.1,13.3,526,1215,0.7,78.5,44.3,35.9
Naracoorte and Lucindale (DC),52,48,41,19.5,10.4,11.9,12.8,13.7,13.2,10.4,5.5,2.7,56.2,10.2,7.3,80.4,29.7,14.4,85.8,58.3,31.5,10.5,9.4,12.8,655,1424,0.4,70.8,47.4,40.3
Northern Areas (DC),51.1,48.9,48,17.7,9.7,8.8,10.1,13.7,16.4,13.9,6.5,3.2,53.9,10.6,7.3,85.9,27.9,21.3,93.2,56,33.4,14,8.4,13.6,540,1304,0.3,63.9,52.1,36.1
Norwood Payneham St Peters (C),47.9,52.1,40,14.4,13,15.5,13,13,11.8,9.3,6.5,3.7,43.6,36.7,8.8,64.9,35.1,24,68.9,54.9,34.4,35.7,13.1,8.9,681,1920,10.8,64.8,41.4,41.1
Onkaparinga (C),48.9,51.1,40,18.7,12.2,12.4,12.9,13.6,12.9,10.4,4.8,2.1,47.9,13.4,9.1,73.1,43.1,13.9,88.3,52.5,34.8,16,14.5,16.7,593,1448,6.1,76,38.5,41.8
Orroroo/Carrieton (DC),49.9,50.1,52,16.2,6.5,9.2,8.2,12.7,19.2,14,8.7,5.2,59,9.6,7.2,83.2,26.2,22.5,91.7,59.4,31.5,14.8,5.8,13.6,513,1326,NA,56.2,59.8,31.2
Peterborough (DC),49.5,50.5,54,14,9,8.3,8.3,11.6,21.5,14.8,9.2,3.2,39.9,5.7,4,82,34.8,19,91.2,41.3,38.6,8.8,8,10,426,890,0.8,65.7,50.5,23.8
Playford (C),49.6,50.4,32,23.1,14.4,15.3,12,12.7,10.3,6.7,4,1.5,39.5,6.3,6.3,71.2,39.7,15,80.9,51.7,30.3,9.8,12.4,15.2,498,1212,5.8,78.5,31.3,40.8
Port Adelaide Enfield (C),49.6,50.4,37,16.7,12.3,16.6,14,13,11.7,8.1,4.7,2.6,43.6,19.8,8,60.8,31.1,19.8,61.8,54.4,31.5,20.7,13.6,13.4,551,1428,10.3,73.6,35.8,42.1
Port Augusta (C),51,49,39,18.9,11.9,13.8,11.5,13.9,13.3,10.2,4.7,1.7,40.3,7.9,5.1,83.8,36.2,16.6,83.2,55,29.1,14.7,12.3,13.6,604,1370,1.1,75.8,40.6,36.3
Port Lincoln (C),49.3,50.7,40,19.4,11.5,12.6,11.4,13,13.2,10.2,5.9,2.8,45.6,10.1,6.4,83.5,37.8,17,88.8,51.2,36.6,15.7,11.7,15.3,603,1398,0.4,78.6,43.6,37.4
Port Pirie City and Dists (M),49,51,44,17.8,12.1,10.3,11,14,13.3,11.7,6.9,2.9,45,7.1,5.4,85.8,33.1,24.8,89.7,50.4,33.5,13.7,10.7,14.9,481,1229,1.1,76,42.4,36.4
Prospect (C),50.2,49.8,37,17,13.1,16,13.6,13.7,12.9,7.4,4.1,2.3,47.8,33.4,9.3,68.6,31.8,24.3,69.4,56.6,32.8,30.7,14.2,10.4,757,2099,10.5,70.7,36.4,49.5
Renmark Paringa (DC),49.8,50.2,44,17.3,11.2,11.5,11.2,13.3,14.5,11.8,6.3,2.9,49.8,7.7,6.7,77.7,34.6,13.1,79.2,54.9,32.4,11.3,10.2,12.2,550,1256,0.7,77.7,46.6,36.4
Robe (DC),51.1,48.9,50,14,8.6,9.5,10.8,15,17.2,14.5,7.7,2.9,52.9,11.7,8.4,83.3,40.4,11.9,91.3,51.2,36.1,9.1,8,12,634,1406,NA,63.9,58.1,34.2
Roxby Downs (M),57.1,42.9,30,26.4,10.8,22.7,16.9,13.7,8.2,1,0.2,0.1,49.4,13.9,6.1,77.6,38.8,20.7,84,71.4,18.7,13.4,8.4,26.4,1547,2760,5.7,73.5,34,56
Salisbury (C),49.8,50.2,35,19.7,13.5,15.3,13.4,13,11.1,8.2,4.4,1.6,45.8,11.6,7,63.4,31.4,19.3,67.2,54.4,30.7,12.9,13.7,14.9,530,1320,7.4,78.3,33.5,43.9
Southern Mallee (DC),51.6,48.4,46,17,8.1,11.2,11.7,14.2,15.1,12.4,7.5,2.9,55.6,9.2,5.8,80.5,28.8,10,87.7,59.6,29.7,7.8,6.2,9.8,604,1430,0.4,61.4,48.1,39.6
Streaky Bay (DC),53,47,45,19.8,8.2,9.2,11.6,14.2,18.3,11.1,5,2.7,55.8,9.5,5.8,87.4,31.8,23.6,91.7,52.6,35,11.5,9,13.2,594,1370,0.5,62.3,50.5,38.3
Tatiara (DC),52.6,47.4,42,19,11.3,11.1,12.2,14.9,13,9.8,5.5,3,55.2,8.3,7.5,80.5,32.7,11.9,85.7,61.1,29.7,9.6,9.3,12.6,652,1409,0.3,67.4,47.5,41.7
Tea Tree Gully (C),48.9,51.1,41,17.6,12.2,12.1,13,14,12.8,10.7,5.4,2.1,53,17,9.9,72.1,34.9,19,83.9,56,33.2,19,16.8,15.3,655,1676,10,74.9,39.7,43.9
