LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
Narrabri (A),49.9,50.1,40,21.3,10.9,11.3,11.7,13.5,13.6,10,5.6,2,50.1,9.9,5.8,83.5,18.1,23.4,87.4,60.6,27.4,13.7,10.7,14.2,632,1531,1.3,70.9,41.5,40.1
Narrandera (A),49.6,50.4,44,19.8,10.6,9.4,11,12.5,14.6,12,6.7,3.4,48.4,8.5,6,83.1,19.3,26.3,87.3,60.1,26.9,11.9,10.4,12.4,575,1349,0.6,69.9,42.3,39.1
Narromine (A),49.9,50.1,42,21.5,10.8,10.2,10.4,12.4,13.9,11.8,6.5,2.8,47.9,9.3,6.3,85.6,15.8,27.9,89.4,60.8,26.4,12.7,10.3,13.1,586,1358,0.3,68,41.8,36.8
Newcastle (C),49.3,50.7,37,16.9,14.5,15.4,12.9,12.7,11.8,8.4,4.9,2.7,40.7,23.4,8.7,81.3,32.8,22.2,84.8,55,32.7,27.2,13.1,12.9,660,1778,3.9,73.6,38.4,41.1
Oberon (A),52,48,45,17.5,12.7,9.2,10.6,14.3,13.7,14.5,5.5,2.1,49.1,9.7,6.5,78.8,20.7,31.9,84.4,59.5,29.1,12,10,14.3,611,1509,0.5,71.2,46.9,37.5
Orange (C),48.6,51.4,37,21.2,12.2,13.3,12.6,12.3,11.5,9,5.5,2.3,46.3,17.4,8.4,83.5,21.8,29.9,87.8,59.7,28.8,21.2,13.1,14.6,667,1655,0.7,79,38.2,41.9
Parkes (A),49.2,50.8,41,20.2,12.4,10.6,10.7,12.9,13.3,10.3,6.5,3,47.4,9.4,6.2,84.5,15.9,27.3,88.5,57.7,28.6,14.6,11.2,14.8,554,1412,0.5,71.2,40.2,39.7
Penrith (C),49.4,50.6,34,21.1,13.8,15.5,14,12.7,11.3,7.4,3.1,1.2,47.3,13.4,8.4,72.4,21.1,32.1,77.2,63.9,25.6,14.8,17.8,14.8,728,1858,11.4,75.1,30.3,48.8
Port Stephens (A),49.4,50.6,45,17.9,11,9.6,11.3,13.3,13.9,13.7,6.8,2.4,50.8,11.1,8.9,81,25.9,21.7,89.5,53.5,33.6,14.7,12.9,17.6,571,1431,1.7,76.3,44.2,38.3
Randwick (C),49.2,50.8,34,14.8,16.5,18.8,14.9,12.1,9.3,7,4.2,2.3,38.5,37.5,8.3,51.4,31.5,26.5,59.7,62.4,27.6,34.8,13.6,9.1,834,2421,27.9,48.7,37.9,44.9
